threshold,precision,recall
0.1248916878522381,0.14494651822746124,0.992526158445441
0.1250856229010205,0.14497816593886462,0.992526158445441
0.12532933647986114,0.14500982747324742,0.992526158445441
0.12533680160772134,0.145041502839668,0.992526158445441
0.1254028460740428,0.1450731920471925,0.992526158445441
0.12552611728018834,0.1451048951048951,0.992526158445441
0.12558709373413143,0.14513661202185793,0.992526158445441
0.12578132468626396,0.1452000874699322,0.992526158445441
0.12606890550977187,0.1452318460192476,0.992526158445441
0.12616972237049956,0.14526361846423103,0.992526158445441
0.12625075154232357,0.14529540481400438,0.992526158445441
0.1263367289406675,0.14532720507769753,0.992526158445441
0.12636773897273076,0.14535901926444833,0.992526158445441
0.12638051935358394,0.14539084738340266,0.992526158445441
0.1265604827095561,0.14542268944371442,0.992526158445441
0.12677494393710403,0.14545454545454545,0.992526158445441
0.12688180197352827,0.14548641542506574,0.992526158445441
0.12690221673384372,0.1455182993644532,0.992526158445441
0.12706731305068372,0.14555019728189392,0.992526158445441
0.12729699966606436,0.14558210918658188,0.992526158445441
0.12729976180174404,0.1456140350877193,0.992526158445441
0.12741414117520014,0.14564597499451634,0.992526158445441
0.1275319657958481,0.1456779289161913,0.992526158445441
0.12758434536373625,0.14570989686197058,0.992526158445441
0.12761981029095115,0.14574187884108866,0.992526158445441
0.12779862533334654,0.14577387486278814,0.992526158445441
0.12780421693329502,0.1458058849363197,0.992526158445441
0.1279899314978626,0.14583790907094224,0.992526158445441
0.1281390591586767,0.14586994727592267,0.992526158445441
0.12819473370527587,0.14590199956053615,0.992526158445441
0.12824288263935266,0.14593406593406594,0.992526158445441
0.12845536560617796,0.14596614640580347,0.992526158445441
0.12848826219333684,0.14599824098504838,0.992526158445441
0.12857586685456465,0.14603034968110842,0.992526158445441
0.12871280861691584,0.1460624725032996,0.992526158445441
0.12871665731443563,0.1460946094609461,0.992526158445441
0.1289033144443241,0.14612676056338028,0.992526158445441
0.12892546223940596,0.14615892581994278,0.992526158445441
0.12901198011727,0.14619110523998238,0.992526158445441
0.12905092532923135,0.1462232988328562,0.992526158445441
0.12907873740442108,0.14625550660792952,0.992526158445441
0.12934129456737062,0.1462877285745759,0.992526158445441
0.12937270011410337,0.14631996474217718,0.992526158445441
0.12941442058073663,0.14635221512012342,0.992526158445441
